user,password,p1,p2,p3,p4,p5,p6,countries
user187,pw187,"23.69767,103.30372","50.879655,20.628806","-34.428377,150.893892","25.907854,100.190243","40.016412,-105.259703","24.734319,81.334404","Myanmar,Scarborough Reef,Somalia,Argentina,Niger,Algeria,Cape Verde,Latvia,Republic of Congo,Luxembourg,Libya,Armenia,Somaliland,Namibia,Paraguay,Equatorial Guinea,Democratic Republic of the Congo"
user188,pw188,"23.69767,103.30372","50.879655,20.628806","-34.428377,150.893892","25.907854,100.190243","40.016412,-105.259703","24.734319,81.334404","Myanmar,Scarborough Reef,Somalia,Argentina,Niger,Algeria,Cape Verde,Latvia,Republic of Congo"
user189,pw189,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria,Equatorial Guinea,Cape Verde,,Russia,Aruba,Vatican"
user190,pw190,"23.69767,103.30372","50.879655,20.628806","-34.428377,150.893892","25.907854,100.190243","40.016412,-105.259703","24.734319,81.334404","Myanmar,Scarborough Reef,Somalia,Argentina,Niger,Algeria,Cape Verde,Latvia"
user191,pw191,"24.574464,80.833951","39.760983,-84.198952","-29.781392,-51.116725","50.879655,20.628806","42.77139,129.42333","35.272532,137.03247","Saint Vincent and the Grenadines,South Georgia and South Sandwich Islands,Tuvalu,Burkina Faso,Thailand,New Caledonia,Saint Pierre and Miquelon,Sri Lanka,Egypt,Serranilla Bank,Namibia,Equatorial Guinea,Somalia,Gabon,Saint Martin,Cook Islands,Iraq"
user192,pw192,"40.598583,-75.468316","47.656291,-122.351793","39.760983,-84.198952","-24.618994,25.929288","40.016412,-105.259703","23.69767,103.30372","Sudan,Macao S.A.R,New Zealand,Anguilla,Greece,Saint Lucia,Nepal,Oman,Azerbaijan,Palestine,Malaysia,Egypt,Equatorial Guinea,British Virgin Islands,Namibia,Niger"
user193,pw193,"19.47966,37.199371","-8.272046,-35.970224","-22.875689,-47.216496","59.911039,30.340232","-24.618994,25.929288","39.760983,-84.198952","Bangladesh,Brunei,New Zealand,Hong Kong S.A.R.,San Marino,Saint Vincent and the Grenadines,Barbados"
user194,pw194,"-22.875689,-47.216496","48.291224,25.95741","23.09639,109.60917","-8.272046,-35.970224","61.097602,72.598598","52.52431,85.155709","Serranilla Bank,Barbados,Republic of Serbia,Estonia,China,Norway,Nepal,Brunei,Albania,Costa Rica,Cambodia,Equatorial Guinea,Namibia,Antigua and Barbuda,Greece,Saint Vincent and the Grenadines,Saint Helena,Guam,Hong Kong S.A.R.,Mali"
user195,pw195,"-24.618994,25.929288","47.138691,37.558427","38.124663,-122.228542","-29.781392,-51.116725","43.817726,11.370028","50.879655,20.628806","Puerto Rico,Colombia,Bhutan,Japan,Finland,Senegal,Cook Islands,Cameroon,United States Virgin Islands"
user196,pw196,"26.261398,73.023376","27.754099,111.772282","-37.671696,176.139348","40.016412,-105.259703","41.738529,86.19873","23.09639,109.60917","Comoros,Botswana,Austria,Russia,Armenia,French Polynesia,Rwanda,Brazil"
user197,pw197,"37.05944,37.3825","41.738529,86.19873","46.903549,19.693312","54.481604,-0.619792","36.84556,115.71167","55.084877,87.040012","Mauritius,Guinea,Guatemala,Chile,Brazil,Nepal,Canada,Turkey,American Samoa,Tuvalu"
user198,pw198,"-34.428377,150.893892","19.47966,37.199371","43.817726,11.370028","48.291224,25.95741","25.907854,100.190243","20.553642,74.522992","Ireland,Guernsey,Yemen,Tunisia,United States Virgin Islands,Liberia,French Polynesia,Cape Verde,Bangladesh,United Kingdom,Myanmar,Italy,Guinea Bissau,Liechtenstein,Equatorial Guinea,Namibia"
user199,pw199,"24.574464,80.833951","52.52431,85.155709","54.481604,-0.619792","-37.671696,176.139348","-34.428377,150.893892","55.084877,87.040012","Saint Martin,Burkina Faso,Niger,El Salvador,Japan,Costa Rica,Netherlands,Somaliland,Croatia,American Samoa,Austria,Equatorial Guinea,Cape Verde"
